id,unit,time,treat,treatq,treatd,valueFOC2,valueMOC2,valueTOC2,valuefratioOC2,valueFOC9,valueMOC9,valueTOC9,valuefratioOC9
1,Austria,172,0,0,0,40.8,43.3,42.1,48.513676,40,40.2,40.1,49.875313
1,Austria,173,0,0,0,40.9,43.3,42.2,48.574821,40,40,40,50
1,Austria,174,0,0,0,41,43.1,42.1,48.751488,39.8,39.9,39.9,49.937263
1,Austria,175,0,0,0,40.7,43.3,42.1,48.452381,40,40,40,50
1,Austria,176,0,0,0,44.2,48.8,47,47.526882,40.5,42.3,41.6,48.913044
1,Austria,177,0,0,0,43.5,47.9,46.2,47.592999,39.9,41.4,40.8,49.077492
1,Austria,178,0,0,0,42.2,47.4,45.4,47.098213,40.7,41.7,41.3,49.393204
1,Austria,179,0,0,0,43.7,48.4,46.5,47.448425,40,41.4,40.9,49.140049
1,Austria,180,0,0,0,44,48.5,46.7,47.567566,39.9,41.5,40.9,49.0172
1,Austria,181,0,0,0,44.2,47.8,46.4,48.04348,40.2,41.3,40.9,49.325153
1,Austria,182,0,0,0,43.4,47.6,45.9,47.692307,40.4,41.2,40.9,49.509804
1,Austria,183,0,0,0,42.6,48.1,46,46.968025,40.4,41.4,41,49.388752
1,Austria,184,0,0,0,42.6,47.9,45.9,47.071823,40.3,41.3,40.9,49.387257
1,Austria,185,0,0,0,42.7,47.8,45.9,47.18232,40,41.6,40.9,49.019608
1,Austria,186,0,0,0,42.7,47.5,45.6,47.339245,40.3,41.4,41,49.326805
1,Austria,187,0,0,0,42.7,47,45.3,47.603123,40.1,41.3,40.9,49.262897
1,Austria,188,0,0,0,43.2,46.8,45.4,48,40.1,41.4,40.9,49.202454
1,Austria,189,0,0,0,43.2,46.9,45.4,47.946728,40.1,41.5,41,49.142159
1,Austria,190,0,0,0,43.7,46.8,45.6,48.287292,40.7,41.4,41.1,49.573692
1,Austria,191,0,0,0,43.6,46.8,45.6,48.230087,40.3,41.2,40.9,49.447853
1,Austria,192,0,0,0,43.4,47.6,46,47.692307,40.3,40.8,40.6,49.691738
1,Austria,193,0,0,0,43.4,46.6,45.3,48.222221,39.9,41.1,40.6,49.259258
1,Austria,194,0,0,0,43.5,46.8,45.5,48.172756,40.2,41.1,40.7,49.446495
1,Austria,195,0,0,0,43,46.5,45.1,48.044693,40,40.9,40.5,49.443756
1,Austria,196,0,0,0,43.1,46.4,45.1,48.156425,40.1,41,40.6,49.445129
1,Austria,197,0,0,0,43.2,46.4,45.1,48.214287,39.8,41,40.5,49.257427
1,Austria,198,0,0,0,42.4,47,45.2,47.427292,40.1,41,40.7,49.445129
1,Austria,199,0,0,0,42.8,46.7,45.1,47.821228,39.7,41,40.5,49.19455
1,Austria,200,0,0,0,43,46.8,45.3,47.884186,39.9,40.9,40.5,49.381187
1,Austria,201,0,0,0,43.4,46.8,45.4,48.115299,40,40.8,40.5,49.504951
1,Austria,202,0,0,0,43.1,46.1,44.9,48.318386,40.2,40.9,40.7,49.568436
1,Austria,203,0,0,0,43.3,46.5,45.2,48.218262,39.7,40.8,40.4,49.316769
1,Austria,204,0,0,0,42.7,46.4,44.8,47.923679,40,40.8,40.5,49.504951
1,Austria,205,0,0,0,42.5,46.1,44.5,47.968399,39.4,40.8,40.3,49.127182
1,Austria,206,0,0,0,42.9,46.2,44.8,48.148148,39.5,40.8,40.3,49.190536
1,Austria,207,0,0,0,43,46.1,44.8,48.26038,39.6,40.9,40.4,49.192547
1,Austria,208,0,0,0,42.9,46.1,44.8,48.202248,39.8,40.8,40.4,49.379654
1,Austria,209,0,0,0,42.9,45.9,44.7,48.31081,39.7,41,40.5,49.19455
1,Austria,210,0,0,0,43.2,45.6,44.6,48.648647,39.9,41.6,40.9,48.957054
1,Austria,211,0,0,0,43.1,46,44.8,48.372616,39.7,40.9,40.4,49.255585
1,Austria,212,0,0,0,42.6,45.7,44.5,48.244621,39.6,40.8,40.3,49.253731
