"","event_time","att","se","ci_lower","ci_upper"
"1",-13,-0.9875,1.33202543068863,-3.59826984414971,1.62326984414971
"2",-12,1.05,0.833963747909402,-0.584568945902427,2.68456894590243
"3",-11,0.0166666666666663,0.660478696646766,-1.27787157876099,1.31120491209433
"4",-10,-1.4375,1.6679274958188,-4.70663789180485,1.83163789180485
"5",-9,-0.0362499999999999,1.31027287626399,-2.60438483747742,2.53188483747742
"6",-8,-0.0333333333333334,0.873087973119966,-1.74458576064847,1.6779190939818
"7",-7,-0.304375,0.713490734825988,-1.70281684025894,1.09406684025894
"8",-6,1.064375,0.718448185994117,-0.34378344454847,2.47253344454847
"9",-5,0.2625,0.360920977567457,-0.444905116032215,0.969905116032216
"10",-4,-0.13,0.814689919068828,-1.7267922413749,1.4667922413749
"11",-3,1.1925,0.622044293301756,-0.0267068148714418,2.41170681487144
"12",-2,1.098125,0.484069624342079,0.149348536289524,2.04690146371047
"13",-1,0.72,0.554678554998408,-0.36716996779688,1.80716996779688
"14",0,2.31375,1.0754425842485,0.205882534872937,4.42161746512707
"15",1,5.155,1.02373683187812,3.14847580951889,7.16152419048111
"16",2,7.30375,1.31300642410436,4.73025740875545,9.87724259124454
"17",3,9.959375,2.12631798642317,5.79179174661058,14.1269582533894
"18",4,11.296875,2.19581496541562,6.99307766778538,15.6006723322146
"19",5,14.1821428571429,3.30526686550963,7.70381980074397,20.6604659135417
"20",6,15.525,3.4694436290342,8.72489048709296,22.325109512907
"21",7,18.235,4.03721850362941,10.3220517328864,26.1479482671136
"22",8,20.84375,3.38102802798269,14.2169350651539,27.4705649348461
